[  294.667881] [pid: 2389], CPUburst : 4286776, rt_priority:10
[  294.672054] [pid: 2388], CPUburst : 4161594, rt_priority:10
[  294.675955] [pid: 2389], CPUburst : 3913576, rt_priority:10
[  294.679654] [pid: 2388], CPUburst : 3692297, rt_priority:10
[  294.683556] [pid: 2389], CPUburst : 3906196, rt_priority:10
[  294.687604] [pid: 2388], CPUburst : 4048211, rt_priority:10
[  294.691543] [pid: 2389], CPUburst : 3939118, rt_priority:10
[  294.696077] [pid: 2388], CPUburst : 4525322, rt_priority:10
[  294.699915] [pid: 2389], CPUburst : 3847532, rt_priority:10
[  294.703801] [pid: 2388], CPUburst : 3885516, rt_priority:10
[  294.707795] [pid: 2389], CPUburst : 3993375, rt_priority:10
[  294.711679] [pid: 2388], CPUburst : 3884268, rt_priority:10
[  294.715588] [pid: 2389], CPUburst : 3907763, rt_priority:10
[  294.719691] [pid: 2388], CPUburst : 4103795, rt_priority:10
[  294.723541] [pid: 2389], CPUburst : 3850445, rt_priority:10
[  294.727586] [pid: 2388], CPUburst : 4044235, rt_priority:10
[  294.731577] [pid: 2389], CPUburst : 3989453, rt_priority:10
[  294.735572] [pid: 2388], CPUburst : 3996541, rt_priority:10
[  294.739550] [pid: 2389], CPUburst : 3979343, rt_priority:10
[  294.743738] [pid: 2388], CPUburst : 4184818, rt_priority:10
[  294.747783] [pid: 2389], CPUburst : 4047022, rt_priority:10
[  294.751637] [pid: 2388], CPUburst : 3856627, rt_priority:10
[  294.755541] [pid: 2389], CPUburst : 3902618, rt_priority:10
[  294.759734] [pid: 2388], CPUburst : 4193330, rt_priority:10
[  294.764537] [pid: 2389], CPUburst : 4784577, rt_priority:10
[  294.767709] [pid: 2388], CPUburst : 3191040, rt_priority:10
[  294.772141] [pid: 2389], CPUburst : 4431609, rt_priority:10
[  294.777034] [pid: 2388], CPUburst : 4892163, rt_priority:10
[  294.780032] [pid: 2389], CPUburst : 2991369, rt_priority:10
[  294.783850] [pid: 2388], CPUburst : 3825237, rt_priority:10
[  294.787827] [pid: 2389], CPUburst : 3976997, rt_priority:10
[  294.791670] [pid: 2388], CPUburst : 3843462, rt_priority:10
[  294.795526] [pid: 2389], CPUburst : 3856052, rt_priority:10
[  294.799485] [pid: 2388], CPUburst : 3957639, rt_priority:10
[  294.803584] [pid: 2389], CPUburst : 4100823, rt_priority:10
[  294.808242] [pid: 2388], CPUburst : 4657191, rt_priority:10
[  294.812159] [pid: 2389], CPUburst : 3917191, rt_priority:10
[  294.816070] [pid: 2388], CPUburst : 3911895, rt_priority:10
[  294.820033] [pid: 2389], CPUburst : 3962680, rt_priority:10
[  294.823881] [pid: 2388], CPUburst : 3846968, rt_priority:10
[  294.828781] [pid: 2389], CPUburst : 4901557, rt_priority:10
[  294.831668] [pid: 2388], CPUburst : 2886663, rt_priority:10
[  294.835590] [pid: 2389], CPUburst : 3921515, rt_priority:10
[  294.839518] [pid: 2388], CPUburst : 3928377, rt_priority:10
[  294.843637] [pid: 2389], CPUburst : 4117191, rt_priority:10
[  294.848278] [pid: 2388], CPUburst : 4642079, rt_priority:10
[  294.853186] [pid: 2389], CPUburst : 4908324, rt_priority:10
[  294.855643] [pid: 2388], CPUburst : 2456791, rt_priority:10
[  294.859581] [pid: 2389], CPUburst : 3936327, rt_priority:10
[  294.863519] [pid: 2388], CPUburst : 3937711, rt_priority:10
[  294.867779] [pid: 2389], CPUburst : 4260371, rt_priority:10
[  294.871714] [pid: 2388], CPUburst : 3936810, rt_priority:10
[  294.876582] [pid: 2389], CPUburst : 4867971, rt_priority:10
[  294.879469] [pid: 2388], CPUburst : 2886475, rt_priority:10
[  294.883506] [pid: 2389], CPUburst : 4037927, rt_priority:10
[  294.887727] [pid: 2388], CPUburst : 4220411, rt_priority:10
[  294.891716] [pid: 2389], CPUburst : 3989833, rt_priority:10
[  294.896221] [pid: 2388], CPUburst : 4501268, rt_priority:10
[  294.900139] [pid: 2389], CPUburst : 3920888, rt_priority:10
[  294.903998] [pid: 2388], CPUburst : 3859014, rt_priority:10
[  294.907918] [pid: 2389], CPUburst : 3920631, rt_priority:10
[  294.911838] [pid: 2388], CPUburst : 3919794, rt_priority:10
[  294.915682] [pid: 2389], CPUburst : 3843947, rt_priority:10
[  294.919618] [pid: 2388], CPUburst : 3936188, rt_priority:10
[  294.924489] [pid: 2389], CPUburst : 4870599, rt_priority:10
[  294.927418] [pid: 2388], CPUburst : 2928883, rt_priority:10
[  294.932309] [pid: 2389], CPUburst : 4890696, rt_priority:10
[  294.935483] [pid: 2388], CPUburst : 3174621, rt_priority:10
[  294.940085] [pid: 2389], CPUburst : 4602193, rt_priority:10
[  294.944129] [pid: 2388], CPUburst : 4043774, rt_priority:10
[  294.947905] [pid: 2389], CPUburst : 3774301, rt_priority:10
[  294.951826] [pid: 2388], CPUburst : 3922228, rt_priority:10
[  294.955733] [pid: 2389], CPUburst : 3907263, rt_priority:10
[  294.959611] [pid: 2388], CPUburst : 3878275, rt_priority:10
[  294.963395] [pid: 2389], CPUburst : 3783317, rt_priority:10
[  294.967459] [pid: 2388], CPUburst : 4061603, rt_priority:10
[  294.971789] [pid: 2389], CPUburst : 4332257, rt_priority:10
[  294.976202] [pid: 2388], CPUburst : 4413316, rt_priority:10
[  294.979403] [pid: 2389], CPUburst : 3199869, rt_priority:10
[  294.983385] [pid: 2388], CPUburst : 3983923, rt_priority:10
[  294.988998] [pid: 2389], CPUburst : 5612611, rt_priority:10
[  294.991964] [pid: 2388], CPUburst : 2966685, rt_priority:10
[  294.995472] [pid: 2389], CPUburst : 3506773, rt_priority:10
[  295.000004] [pid: 2388], CPUburst : 4531878, rt_priority:10
[  295.003899] [pid: 2389], CPUburst : 3895747, rt_priority:10
[  295.007765] [pid: 2388], CPUburst : 3863329, rt_priority:10
[  295.011679] [pid: 2389], CPUburst : 3913920, rt_priority:10
[  295.016566] [pid: 2388], CPUburst : 4889855, rt_priority:10
[  295.019505] [pid: 2389], CPUburst : 2938383, rt_priority:10
[  295.024360] [pid: 2388], CPUburst : 4855620, rt_priority:10
[  295.027767] [pid: 2389], CPUburst : 3406932, rt_priority:10
[  295.032222] [pid: 2388], CPUburst : 4455549, rt_priority:10
[  295.036108] [pid: 2389], CPUburst : 3885174, rt_priority:10
[  295.039857] [pid: 2388], CPUburst : 3748821, rt_priority:10
[  295.044913] [pid: 2389], CPUburst : 5056755, rt_priority:10
[  295.047785] [pid: 2388], CPUburst : 2871366, rt_priority:10
[  295.051385] [pid: 2389], CPUburst : 3600059, rt_priority:10
[  295.055603] [pid: 2388], CPUburst : 4217654, rt_priority:10
[  295.059520] [pid: 2389], CPUburst : 3918231, rt_priority:10
[  295.063438] [pid: 2388], CPUburst : 3917302, rt_priority:10
[  295.067755] [pid: 2389], CPUburst : 4315904, rt_priority:10
[  295.071487] [pid: 2388], CPUburst : 3731989, rt_priority:10
[  295.076110] [pid: 2389], CPUburst : 4622251, rt_priority:10
[  295.079372] [pid: 2388], CPUburst : 3261865, rt_priority:10
[  295.084876] [pid: 2389], CPUburst : 5505560, rt_priority:10
[  295.087832] [pid: 2388], CPUburst : 2956443, rt_priority:10
[  295.091833] [pid: 2389], CPUburst : 4001205, rt_priority:10
[  295.096596] [pid: 2388], CPUburst : 4761874, rt_priority:10
[  295.099531] [pid: 2389], CPUburst : 2935693, rt_priority:10
[  295.103440] [pid: 2388], CPUburst : 3908814, rt_priority:10
[  295.108373] [pid: 2389], CPUburst : 4933173, rt_priority:10
[  295.111768] [pid: 2388], CPUburst : 3395561, rt_priority:10
[  295.115645] [pid: 2389], CPUburst : 3876337, rt_priority:10
[  295.120069] [pid: 2388], CPUburst : 4424614, rt_priority:10
[  295.123476] [pid: 2389], CPUburst : 3407100, rt_priority:10
[  295.127923] [pid: 2388], CPUburst : 4446865, rt_priority:10
[  295.131731] [pid: 2389], CPUburst : 3807733, rt_priority:10
[  295.135626] [pid: 2388], CPUburst : 3895361, rt_priority:10
