[ 3556.517924] [pid: 2616], CPUburst : 99812592, rt_priority:10
[ 3556.618524] [pid: 2617], CPUburst : 100600496, rt_priority:10
[ 3556.718217] [pid: 2616], CPUburst : 99693665, rt_priority:10
[ 3556.749703] [pid: 2617], CPUburst : 31423364, rt_priority:10
[ 3556.817795] [pid: 2617], CPUburst : 68083480, rt_priority:10
[ 3556.917867] [pid: 2616], CPUburst : 100072597, rt_priority:10
[ 3557.017593] [pid: 2617], CPUburst : 99725807, rt_priority:10
[ 3557.117745] [pid: 2616], CPUburst : 100151393, rt_priority:10
[ 3557.217917] [pid: 2617], CPUburst : 100160154, rt_priority:10
[ 3557.317535] [pid: 2616], CPUburst : 99630380, rt_priority:10
[ 3557.417538] [pid: 2617], CPUburst : 100003085, rt_priority:10
[ 3557.518045] [pid: 2616], CPUburst : 100506498, rt_priority:10
[ 3557.618243] [pid: 2617], CPUburst : 100197370, rt_priority:10
[ 3557.718408] [pid: 2616], CPUburst : 100165353, rt_priority:10
[ 3557.818163] [pid: 2617], CPUburst : 99755690, rt_priority:10
[ 3557.918042] [pid: 2616], CPUburst : 99879208, rt_priority:10
[ 3558.025956] [pid: 2617], CPUburst : 107913636, rt_priority:10
[ 3558.125748] [pid: 2616], CPUburst : 99791295, rt_priority:10
[ 3558.225530] [pid: 2617], CPUburst : 99782276, rt_priority:10
[ 3558.326359] [pid: 2616], CPUburst : 100828166, rt_priority:10
[ 3558.425984] [pid: 2617], CPUburst : 99626105, rt_priority:10
[ 3558.525768] [pid: 2616], CPUburst : 99783958, rt_priority:10
[ 3558.626307] [pid: 2617], CPUburst : 100539340, rt_priority:10
[ 3558.725999] [pid: 2616], CPUburst : 99691768, rt_priority:10
[ 3558.826118] [pid: 2617], CPUburst : 100118920, rt_priority:10
[ 3558.926028] [pid: 2616], CPUburst : 99909182, rt_priority:10
[ 3559.026369] [pid: 2617], CPUburst : 100341845, rt_priority:10
[ 3559.126269] [pid: 2616], CPUburst : 99900168, rt_priority:10
[ 3559.225607] [pid: 2617], CPUburst : 99338383, rt_priority:10
[ 3559.325698] [pid: 2616], CPUburst : 100091377, rt_priority:10
[ 3559.426256] [pid: 2617], CPUburst : 100556767, rt_priority:10
[ 3559.526303] [pid: 2616], CPUburst : 100047244, rt_priority:10
[ 3559.626531] [pid: 2617], CPUburst : 100202776, rt_priority:10
[ 3559.725779] [pid: 2616], CPUburst : 99272766, rt_priority:10
[ 3559.825776] [pid: 2617], CPUburst : 99974580, rt_priority:10
[ 3559.828842] [pid: 2616], CPUburst : 3076537, rt_priority:10
[ 3559.847237] [pid: 2617], CPUburst : 18408547, rt_priority:10
[ 3559.847345] [pid: 2615], CPUburst : 107836, rt_priority:10

process#00 : 15.049248024999997, process#01 : 15.050251215999996
